chainId,chainName,chainLogoURI,day1TxCount,day2TxCount,day3TxCount,day4TxCount,day5TxCount,day6TxCount,day7TxCount,weeklyTxCount,weeklyContractsDeployed,weeklyActiveAddresses
59434,"qr0528t2ms","",0,0,0,0,0,0,0,0,0,0
83620,"qr0529t1mp","",0,0,0,0,0,0,0,0,0,0
1375,"qr0606t1mp","",0,0,0,0,0,0,0,0,0,0
49900,"qr0606t1ms","",0,0,0,0,0,0,0,0,0,0
27480,"qr0609t1mp","",0,0,0,0,0,0,0,0,0,0
77593,"qr0609t2mp","",0,0,0,0,0,0,0,0,0,0
62381,"qr0609t3mp","",0,0,0,0,0,0,0,0,0,0
88265,"qr0609t4mp","",0,0,0,0,0,0,0,0,0,0
37625,"qr0609t5mp","",0,0,0,0,0,0,0,0,0,0
36593,"qr0609t6mp","",0,0,0,0,0,0,0,0,0,0
21272,"qr0617t2ms","",0,0,0,0,0,0,0,0,0,0
37759,"qr0617t3ms","",0,0,0,0,0,0,0,0,0,0
20726,"qr0618t1ms","",0,0,0,0,0,0,0,0,0,0
86611,"qr0618t2ms","",0,0,0,0,0,0,0,0,0,0
87189,"qr0623t1ms","",0,0,0,0,0,0,0,0,0,0
3062,"qr0623t2ms","",0,0,0,0,0,0,0,0,0,0
76683,"qr0623t3ms","",0,0,0,0,0,0,0,0,0,0
91900,"qr0623t4ms","",0,0,0,0,0,0,0,0,0,0
923,"qr0623t5ms","",0,0,0,0,0,0,0,0,0,0
83414,"qr0623t6ms","",0,0,0,0,0,0,0,0,0,0
61849,"qr0624t1ms","",0,0,0,0,0,0,0,0,0,0
75887,"qr0624t2ms","",0,0,0,0,0,0,0,0,0,0
66005,"qr0630t1mp","",0,0,0,0,0,0,0,0,N/A,2
51206,"qr0630t1ms","",0,0,0,0,0,0,0,0,N/A,6
936903,"qr0719t1ms","",0,0,0,0,0,0,0,0,0,0
931499,"qr0830t1ms","",0,0,0,0,0,0,0,0,0,0
64764,"qr1125t1tp","",0,0,0,0,0,0,0,0,0,0
95251,"qr1127t2mp","",0,0,0,0,0,0,0,0,0,0
57759,"qr1218t1mp","",0,0,0,0,0,0,0,0,0,0
7766,"qr1219t1ms","",0,0,0,0,0,0,0,0,0,0
912888,"qr1223t1ms","",0,0,0,0,0,0,0,0,0,0
64273,"really","",0,0,0,0,0,0,0,0,0,0
111003001,"rymedic","",0,0,0,0,0,0,0,0,0,0
111001001,"rymedii","",0,0,0,0,0,0,0,0,0,0
111002001,"rymedit","",0,0,0,0,0,0,0,0,0,0
2044,"Shrapnel L1","https://images.ctfassets.net/gcj8jwzm6086/3bCKwLkE3vlwnMr52R0RXr/fe8ac511db870a7487986795cb14621e/token-logo.png",559,2102,1988,2054,1591,1466,1569,11329,0,27
9899,"solert","",0,0,0,0,0,0,0,0,0,0
8227,"Space L1","https://images.ctfassets.net/gcj8jwzm6086/27oUMNb9hSTA7HfFRnqUtZ/2f80e6b277f4b4ee971675b5f73c06bf/Space_Symbol_256X256__v2.svg",3026,9350,9258,9368,8942,8869,8945,57758,0,7
1234,"stepnetwork","",2008,5516,5801,5993,5747,4442,5172,34679,3,216
5566,"StraitsX L1","https://images.ctfassets.net/gcj8jwzm6086/3jGGJxIwb3GjfSEJFXkpj9/2ea8ab14f7280153905a29bb91b59ccb/icon.png",451,844,745,648,753,752,793,4986,0,343
62707,"tele1","",0,0,0,0,0,0,0,0,0,0
70953,"tele2","",0,0,0,0,0,0,0,0,0,0
17177,"The LYLTY Economy","https://images.ctfassets.net/gcj8jwzm6086/62KzIedYATHGgRODAP5Py9/e290f4d8598ac8d30d80975a560cca8f/AvaCloud-512x512.png",0,0,0,6,0,0,0,6,N/A,6
